"","common_name","scientific_name","taxon_rank","gbif_key","taxon_class"
"321","Bronzed Drongo","Dicrurus aeneus","SPECIES",2493971,"Aves"
"356","Black-crowned Pitta","Erythropitta ussheri","SPECIES",6101098,"Aves"
"367","Short-toed Coucal","Centropus rectunguis","SPECIES",5231972,"Aves"
"370","Whiskered Treeswift","Hemiprocne comata","SPECIES",2477440,"Aves"
"377","Ruby-cheeked Sunbird","Chalcoparia singalensis","SPECIES",7341060,"Aves"
"380","Red-naped Trogon","Harpactes kasumba","SPECIES",5232070,"Aves"
"385","Blue-banded Kingfisher","Alcedo euryzona","SPECIES",2475500,"Aves"
"387","Grey Wagtail","Motacilla cinerea","SPECIES",2490310,"Aves"
"393","Yellow-vented Bulbul","Pycnonotus goiavier","SPECIES",2486144,"Aves"
"422","Dusky Munia","Lonchura fuscans","SPECIES",2493619,"Aves"
"423","Pacific Swallow","Hirundo tahitica","SPECIES",5230787,"Aves"
"439","Chestnut Munia","Lonchura atricapilla","SPECIES",2493623,"Aves"
"529","Black Magpie","Platysmurus leucopterus","SPECIES",2482536,"Aves"
"531","Black-bellied Malkoha","Phaenicophaeus diardi","SPECIES",2496384,"Aves"
"553","Cricket Frog","Hylarana nicobariensis","SPECIES",2427022,"Amphibia"
"570","Chestnut-rumped Babbler","Stachyris maculata","SPECIES",2493415,"Aves"
"592","Tree hole Frog","Metaphrynella sundana","SPECIES",2421854,"Amphibia"
"605","Rough Guardian Frog","Limnonectes finchi","SPECIES",2430451,"Amphibia"
"607","Reddish Scops Owl","Otus rufescens","SPECIES",5232308,"Aves"
"619","Common Hill Myna","Gracula religiosa","SPECIES",2488999,"Aves"
"623","Crested Fireback","Lophura ignita","SPECIES",5227961,"Aves"
"632","Lowland Litter Frog","Leptobrachium abbotti","SPECIES",2424680,"Amphibia"
"636","Hose's Bush Frog","Philautus hosii","SPECIES",2423684,"Amphibia"
"641","Dark eared Tree Frog","Polypedates macrotis","SPECIES",2423792,"Amphibia"
"642","Dring's Slender Litter Frog","Leptolalax dringi","SPECIES",2424720,"Amphibia"
"643","Brown Wood Owl","Strix leptogrammica","SPECIES",2497546,"Aves"
"644","Bent-toed Gecko","Cyrtodactylus sp","GENUS",2446984,"Reptilia"
"680","Sticky Frog","Kalophrynus sp","GENUS",2421834,"Amphibia"
"693","Northern Torrent Frog","Meristogenys orphnocnemis","SPECIES",2427317,"Amphibia"
"696","Poison Rock Frog","Odorrana hosii","SPECIES",2427195,"Amphibia"
"699","Giant River Toad","Phrynoidis juxtaspera","SPECIES",2422558,"Amphibia"
"700","Kuhl's Creek Frog","Limnonectes kuhlii","SPECIES",2430477,"Amphibia"
"703","Rock Skipper Frog","Staurois latopalmatus","SPECIES",2426704,"Amphibia"
"704","Frilled Tree Frog","Rhacophorus appendiculatus","SPECIES",5217294,"Amphibia"
"708","File Eared Tree Frog","Polypedates otilophus","SPECIES",2423777,"Amphibia"
"709","White-lipped Frog","Hylarana raniceps","SPECIES",2426880,"Amphibia"
"716","Hairy-backed Bulbul","Tricholestes criniger","SPECIES",5230303,"Aves"
"738","Narrow-mouthed frog","Microhyla sp","GENUS",2422089,"Amphibia"
"739","Oriental Bay Owl","Phodilus badius","SPECIES",2497972,"Aves"
"753","Black-capped Babbler","Pellorneum capistratum","SPECIES",2493252,"Aves"
"834","Ferruginous Babbler","Trichastoma bicolor","SPECIES",2493244,"Aves"
"853","Common Sun Skink","Eutropis multifasciata","SPECIES",2460886,"Reptilia"
"873","Scarlet-rumped Trogon","Harpactes duvaucelii","SPECIES",5232068,"Aves"
"889","Tree Frog","Polypedates sp","GENUS",2423774,"Amphibia"
"917","Narcissus Flycatcher","Ficedula narcissina","SPECIES",5231288,"Aves"
"919","Plain Sunbird","Anthreptes simplex","SPECIES",2484635,"Aves"
"941","Four-lined Tree Frog","Polypedates leucomystax","SPECIES",2423785,"Amphibia"
"951","Cinnamon Frog","Nyctixalus pictus","SPECIES",2423827,"Amphibia"
"1074","Moustached Babbler","Malacopteron magnirostre","SPECIES",2493508,"Aves"
"1077","Grass Frog","Fejervarya limnocharis","SPECIES",2430396,"Amphibia"
"1175","Banded Broadbill","Eurylaimus javanicus","SPECIES",9574405,"Aves"
"1186","Bornean Gliding Frog","Rhacophorus borneensis","SPECIES",8814639,"Amphibia"
"1210","Barred Eagle-Owl","Bubo sumatranus","SPECIES",5959152,"Aves"
"1233","Rufous-tailed Shama","Copsychus pyrropygus","SPECIES",6092712,"Aves"
"1241","Grey-chested Jungle Flycatcher","Cyornis umbratilis","SPECIES",6091986,"Aves"
"1254","Large-tailed Nightjar","Caprimulgus macrurus","SPECIES",2496890,"Aves"
"1259","King Quail","Excalfactoria chinensis","SPECIES",5844237,"Aves"
"1294","Bornean Sticky Frog","Kalophrynus meizon","SPECIES",8840282,"Amphibia"
"1413","Bush Frog","Philautus sp","GENUS",2421433,"Amphibia"
"1472","Twittering Slender Litter Frog","Leptolalax fritinniens","SPECIES",9129624,"Amphibia"
"1549","Grey-and-buff Woodpecker","Hemicircus concretus","SPECIES",2478593,"Aves"
"1637","Gliding frog","Rhacophorus sp","GENUS",2421577,"Amphibia"
"1679","Wallace's Gliding Frog","Rhacophorus nigropalmatus","SPECIES",5217285,"Amphibia"
"1709","Peters's Bent Toed Gecko","Cyrtodactylus consobrinus","SPECIES",5960155,"Reptilia"
"1711","Bornean Narrow-mouthed Frog","Microhyla borneensis","SPECIES",2422115,"Amphibia"
"1818","Black-throated Babbler","Stachyris nigricollis","SPECIES",2493416,"Aves"
"1821","Square-tailed Drongo-Cuckoo","Surniculus lugubris","SPECIES",2496506,"Aves"
"1823","Striped Wren-Babbler","Kenopia striata","SPECIES",2492940,"Aves"
"1858","Bornean Banded Pitta","Hydrornis schwaneri","SPECIES",6101090,"Aves"
"1962","Indian Cuckoo","Cuculus micropterus","SPECIES",5231904,"Aves"
"2055","Blue-crowned Hanging Parrot","Loriculus galgulus","SPECIES",2479372,"Aves"
"2159","Rufous Woodpecker","Micropternus brachyurus","SPECIES",5844053,"Aves"
"2186","Rock Skipper Frog","Staurois guttatus","SPECIES",2426701,"Amphibia"
"2189","Great Angle-headed Lizard","Gonocephalus grandis","SPECIES",5225865,"Reptilia"
"2272","Raffles's Malkoha","Rhinortha chlorophaea","SPECIES",5231928,"Aves"
"2323","Red-billed Malkoha","Zanclostomus javanicus","SPECIES",2496392,"Aves"
"2341","Spotted Stream Frog","Pulchrana picturata","SPECIES",2426915,"Amphibia"
"2499","Orange-backed Woodpecker","Reinwardtipicus validus","SPECIES",2478588,"Aves"
"2523","Helmeted Hornbill","Rhinoplax vigil","SPECIES",2475951,"Aves"
"2569","Wreathed Hornbill","Rhyticeros undulatus","SPECIES",2475916,"Aves"
"2607","Chestnut-breasted Malkoha","Phaenicophaeus curvirostris","SPECIES",2496400,"Aves"
"2746","White-crowned Hornbill","Berenicornis comatus","SPECIES",2476030,"Aves"
"2781","Rufous-winged Philentoma","Philentoma pyrhoptera","SPECIES",7340865,"Aves"
"2977","Golden-bellied Gerygone","Gerygone sulphurea","SPECIES",2486554,"Aves"
"3124","Oriental Dwarf Kingfisher","Ceyx erithaca","SPECIES",5228386,"Aves"
"3125","Buff-necked Woodpecker","Meiglyptes tukki","SPECIES",2478057,"Aves"
"3143","Buff-rumped Woodpecker","Meiglyptes tristis","SPECIES",2478064,"Aves"
"3170","Olive-winged Bulbul","Pycnonotus plumosus","SPECIES",2486122,"Aves"
"3379","Hooded Pitta","Pitta sordida","SPECIES",2489527,"Aves"
"3413","Crested Jay","Platylophus galericulatus","SPECIES",5229486,"Aves"
"3457","Spotted Dove","Spilopelia chinensis","SPECIES",6101224,"Aves"
"3547","Blue-throated Bee-eater","Merops viridis","SPECIES",2475449,"Aves"
"3790","House Gecko","Hemidactylus frenatus","SPECIES",9537238,"Reptilia"
"3819","Banded Woodpecker","Chrysophlegma miniaceum","SPECIES",6101205,"Aves"
"3920","Zebra Dove","Geopelia striata","SPECIES",2495486,"Aves"
"3958","Spinose Slender Toad","Ansonia spinulifer","SPECIES",5216800,"Amphibia"
"4097","Bar-winged Flycatcher-shrike","Hemipus picatus","SPECIES",2486748,"Aves"
"4151","Arctic Warbler","Phylloscopus borealis","SPECIES",2493071,"Aves"
